1820	984,985,990,996,980,981,982,983,987,975,1006,1003,1052,1029,1043,1009,1010,1013,1016,1025,1008
4042	1006,996,1003,1052,1009,1010,1013,1016,1025,1008,1029,1043,990,981,975,987,980,984,985,982,983
1140879	984,985,981,975,982,983,996,980,987,990,1006,1003,1013,1016,1025,1008,1009,1010,1029,1043,1052
331	1052,1006,1008,1029,1010,1013,1016,1025,1009,996,1003,980,981,975,990,987,983,984,985,982
433	990,996,980,975,984,985,982,983,981,987,1006,1003,1013,1016,1025,1029,1052,1008,1009,1010
441	1006,1003,996,985,987,990,975,980,981,983,984,982,1052,1008,1009,1010,1013,1016,1025,1029
717	996,1003,1006,1052,1009,1010,1029,1043,1013,1016,1025,1008,990,980,981,975,987,982,983,984
802	984,985,987,990,975,981,982,983,980,996,1052,1010,1013,1016,1025,1009,1006,1008,1029,1003
952	1010,1013,1016,1025,1029,1009,1052,1006,1008,1003,996,982,983,990,984,985,981,987,975,980
1751	1010,1013,1025,1052,1009,1006,1008,1029,1043,990,996,980,981,982,983,985,987,984,975,1003
1774	1003,1006,996,984,985,975,990,987,980,981,982,983,1052,1010,1013,1025,1029,1043,1009,1008
2061	1006,1003,996,975,984,985,987,990,981,982,983,980,1052,1009,1010,1008,1013,1016,1025,1029
2870	1003,1006,996,981,975,990,980,982,983,984,985,987,1052,1029,1008,1009,1010,1013,1016,1025
3003	975,987,990,996,981,980,984,985,982,1003,1006,1008,1009,1029,1043,1052,1010,1013,1016,1025
3621	1029,1052,1009,1006,1008,1010,1013,1016,1025,980,981,984,985,975,987,990,996,982,983,1003
4972	1006,1003,1010,1013,1016,1025,1029,1052,1009,1008,975,981,984,985,982,983,980,987,990,996
734017	1003,1006,980,982,983,981,987,975,984,985,990,996,1009,1010,1013,1016,1025,1029,1052,1008
205	1006,1003,996,1009,1010,1013,1016,1025,1052,1029,1008,980,981,985,987,990,975,982,983
342	982,975,981,980,984,985,990,996,987,1052,1006,1008,1009,1010,1029,1013,1016,1025,1003
393	982,980,981,985,987,990,983,984,996,975,1006,1003,1009,1010,1008,1013,1025,1029,1052
1236	1003,1006,996,1052,1010,1013,1025,1029,1009,1008,983,984,980,981,985,987,990,975,982
2258	1009,1052,1010,1013,1016,1025,1029,1006,1008,980,981,990,996,982,983,984,985,987,1003
2549	1006,1003,996,981,982,983,975,980,990,984,985,987,1052,1009,1010,1013,1016,1025,1029
2647	975,980,981,982,983,985,987,990,996,984,1010,1013,1025,1052,1029,1006,1008,1009,1003
2708	984,985,980,981,975,987,990,982,983,996,1006,1003,1010,1013,1025,1052,1009,1029,1008
2871	1010,1013,1025,1029,1052,1043,1009,1006,996,1003,985,987,990,981,975,984,980,982,983
4597	985,987,990,981,982,983,975,984,996,980,1006,1009,1010,1052,1013,1016,1025,1029,1003
4719	975,982,980,987,990,984,985,996,981,1052,1013,1016,1025,1029,1006,1008,1009,1010,1003
191674	1003,996,1006,1009,1010,1008,1013,1025,1029,1052,982,983,984,980,985,987,990,981,975
203139	975,985,987,990,982,983,980,981,984,1029,1052,1009,1008,1010,1013,1025,1003,996,1006
344149	990,996,984,985,982,983,980,987,1003,1029,1043,1052,1006,1008,1009,1010,1013,1016,1025
1402794	996,984,985,982,983,987,990,981,975,980,1029,1043,1013,1016,1025,1008,1009,1003,1006
1557323	985,982,983,990,996,981,987,980,975,1003,1006,1010,1013,1016,1025,1009,1029,1052,1008
1558226	1006,1010,1013,1016,1025,1009,1029,1052,1008,975,980,984,985,987,990,996,981,982,983
1604623	980,982,983,981,975,990,996,984,985,987,1006,1003,1010,1013,1025,1008,1052,1009,1029
1751113	1052,1009,1008,1029,1043,1010,1013,1016,1025,996,1003,1006,981,980,985,987,990,982,984
1969560	1006,1003,1013,1016,1025,1009,1010,1029,1043,1052,980,987,990,996,981,982,983,984,985
2003552	982,983,985,990,981,975,980,984,1009,1010,1008,1029,1043,1013,1016,1025,996,1006,1003
2061425	985,987,981,982,983,990,975,980,1006,1003,996,1029,1043,1009,1008,1010,1013,1016,1025
402	1029,1052,1009,1010,1013,1025,975,980,981,982,983,990,996,985,987,984,1003,1006
770	981,983,980,990,996,975,987,984,1006,1003,1008,1009,1052,1013,1016,1025,1029,1010
1315	1006,1003,996,1008,1052,1009,1010,1016,1029,1043,981,980,983,984,985,975,987,990
1569	1003,1006,996,1052,1008,1009,1010,1025,1029,982,983,981,985,987,990,984,980,975
1662	975,980,982,983,987,990,984,985,996,981,1052,1016,1009,1029,1043,1008,1003,1006
2178	1052,1009,1010,1006,1008,1016,1025,1029,975,980,983,984,985,987,990,981,996,1003
2378	1052,1029,1006,1010,1013,1016,1009,996,1003,984,985,982,983,975,981,990,987,980
2422	980,975,990,996,984,985,981,982,983,1006,1003,1009,1052,1010,1013,1016,1029,1008
2643	1029,1052,1008,1009,1010,1025,1003,1006,996,985,987,975,980,984,981,990,982,983
3028	1006,1009,1010,1016,1025,1029,1052,996,1003,981,975,982,983,990,984,985,987,980
3074	1003,1006,996,981,980,982,983,984,985,987,990,975,1010,1013,1025,1029,1052,1009
3513	1006,996,1003,1029,1008,1052,1010,1013,1025,1009,990,982,983,987,984,985,981,980
4538	975,981,982,985,987,990,996,980,984,1003,1006,1052,1010,1013,1025,1029,1009,1008
5635	1010,1025,1052,1006,1008,1009,1029,1003,996,980,982,983,975,981,985,987,990,984
6257	1006,996,1003,1008,1009,1052,1029,1043,1010,1025,975,981,980,983,984,985,990,987
6823	975,984,985,980,981,990,996,982,983,987,1003,1006,1009,1052,1008,1029,1010,1013
8701	1006,1008,1009,1052,1010,1013,1016,1025,1029,1003,990,996,981,983,984,987,975,980
18599	990,996,975,984,985,981,980,987,1006,1003,1009,1052,1008,1010,1016,1025,1029,1043
34596	1003,1006,1009,1010,1008,1029,1052,1013,1025,996,981,987,990,984,985,980,982,983
654881	1003,1006,987,990,975,980,983,981,984,985,996,1009,1052,1010,1013,1016,1025,1029
869830	996,1003,1006,1008,1010,1013,1016,1025,1029,1043,983,980,975,985,987,990,981,982
1569919	1006,1003,990,996,980,981,983,987,982,1009,1008,1029,1043,1010,1013,1016,1025,1052
1732953	1006,996,1008,1029,1043,1052,1010,1013,1016,1025,981,985,987,990,980,982,983,984
1877695	982,983,984,981,980,975,985,987,990,996,1006,1009,1010,1013,1025,1029,1052,1008
2077356	1006,1008,1013,1016,1025,1029,1043,1009,990,980,981,982,985,987,983,975,996,1003
277	1052,1029,1043,1009,1010,1006,996,1003,980,984,990,985,987,981,982,983,975
465	1006,1008,1009,1010,1025,1029,1052,981,980,990,996,983,984,985,975,987,1003
678	984,985,980,975,990,996,983,981,987,1043,1052,1010,1025,1029,1009,1006,1003
1375	1006,1010,1016,1025,1052,1029,1009,996,1003,983,987,990,980,981,984,985,975
1733	980,981,982,983,984,975,987,990,996,1052,1006,1009,1029,1010,1013,1016,1003
2945	1006,1003,996,987,990,983,981,984,975,980,1052,1016,1025,1008,1009,1029,1043
4634	1010,1016,1052,1006,1029,1043,980,975,987,990,981,982,996,983,984,985,1003
4702	1006,1003,1009,1052,1029,1016,1025,1010,980,985,987,990,996,982,983,975,981
5154	1052,1006,1008,1010,1013,1025,1009,1029,980,982,983,985,987,990,996,984,1003
5554	1006,1003,1052,1009,1010,1008,1029,1013,1016,1025,982,983,990,996,981,980,975
5790	975,996,984,985,980,981,987,990,983,1006,1003,1010,1025,1052,1009,1008,1029
6400	975,983,984,985,990,996,980,981,987,1009,1010,1025,1029,1052,1006,1008,1003
8547	1006,1003,996,1009,1052,1029,1010,1016,1025,981,985,987,983,984,990,980,975
8852	975,980,983,990,996,987,984,981,1003,1006,1010,1016,1025,1009,1008,1029,1052
10640	996,1003,1006,1029,1052,1010,1013,1016,1025,1009,975,984,980,981,987,983,990
11710	996,1003,1006,982,983,980,981,975,990,987,1010,1013,1025,1009,1029,1052,1008
29487	985,987,990,982,983,984,980,981,996,1006,1003,1029,1008,1010,1013,1025,1009
484497	996,1003,1006,982,983,985,984,981,975,980,990,1010,1013,1025,1029,1008,1009
666190	996,980,981,987,990,982,983,984,985,1003,1029,1006,1008,1009,1010,1013,1025
689859	1006,1003,996,1009,1010,1025,1008,1029,990,980,984,981,982,983,985,987,975
715450	1006,996,1029,1043,1052,1010,1013,1016,1025,1008,1009,985,987,990,980,984,982
1271029	1003,1006,996,1029,1043,1009,1010,1016,1025,975,983,984,981,980,985,987,990
1273271	1009,1052,1010,1013,1025,1029,1008,996,1006,1003,980,985,982,983,984,990,981
1328546	996,1003,1009,1052,1006,1008,1010,1013,1016,1025,1029,987,983,981,982,980,990
1573073	1006,996,975,980,985,987,990,982,983,981,1008,1009,1010,1029,1043,1013,1025
1620256	1052,1008,1009,1010,1013,1025,1029,1006,996,987,981,975,980,982,983,984,990
2061069	981,982,983,990,980,985,987,984,1006,996,1003,1010,1025,1052,1008,1029,1009
2072061	981,982,990,980,983,984,985,987,975,1006,1008,1010,1013,1009,1029,1052,996
2075433	1010,1016,1025,1009,1029,1043,1006,1008,981,982,983,984,975,987,990,996,1003
3	984,985,975,982,983,980,981,987,990,996,1003,1006,1009,1010,1029,1052
5	1029,1052,1006,1008,1009,1010,990,996,981,983,984,985,975,987,980,1003
812	1006,996,1003,975,983,984,985,987,990,980,1029,1043,1052,1009,1010,1016
918	990,996,982,983,984,975,980,987,981,1006,1003,1052,1009,1010,1013,1029
1162	1052,1006,1008,1009,1025,1029,996,1003,985,982,983,984,975,980,981,990
1212	1006,1003,996,985,987,990,984,981,975,982,980,1009,1010,1029,1052,1025
1672	1006,1003,996,981,987,990,980,982,983,975,984,985,1052,1009,1013,1029