3	971,973,972,974,976,977,970,978,997,1014,1021,993
5	997,1021,978,1014,993,971,970,976,977,972,973,974
277	971,972,973,974,976,977,978,1021,997,1014,993,970
331	997,978,1014,1021,993,977,971,970,974,976,972,973
433	971,970,972,974,973,976,1014,993,997,978,1021,977
441	971,976,977,973,974,972,970,997,978,1014,993,1021
451	971,970,973,974,976,977,972,1021,978,997,993,1014
489	971,970,974,976,977,972,973,997,1014,1021,978,993
678	978,993,997,977,1021,1014,970,971,974,973,976,972
717	971,978,997,1014,1021,993,977,973,974,972,976,970
802	974,976,977,973,971,972,970,1021,997,1014,978,993
952	971,970,972,973,974,976,977,997,978,1014,993,1021
1212	971,970,974,976,972,973,977,978,993,997,1014,1021
1236	971,970,974,976,973,972,977,997,978,1014,993,1021
1266	978,997,1014,1021,993,970,971,972,976,977,973,974
1493	971,970,972,977,973,974,976,978,997,1014,1021,993
1569	974,976,971,972,973,977,978,993,997,1021,1014,970
1672	973,974,971,972,976,978,997,993,1014,1021,977,970
2061	973,974,971,972,976,977,978,1021,997,1014,993,970
2150	978,993,1021,997,1014,971,970,972,974,973,976,977
2318	993,978,997,1014,1021,977,973,974,972,976,971,970
2340	971,970,973,976,977,972,974,978,997,1021,993,1014
2549	977,978,993,997,1014,1021,974,973,971,972,976,970
2565	971,972,974,976,973,977,970,978,993,997,1014,1021
2708	974,973,971,972,976,977,970,978,997,993,1014,1021
2900	971,993,978,997,1014,1021,973,972,976,977,974,970
2937	971,970,973,974,976,977,972,997,978,993,1014,1021
4184	971,993,978,997,1014,1021,977,970,973,974,976,972
4323	997,978,993,1021,1014,971,974,973,976,977,972,970
4446	971,1014,978,977,993,997,1021,970,974,976,972,973
4597	971,978,997,977,1021,1014,993,973,972,974,976,970
6515	971,970,997,1014,1021,978,993,972,973,974,976,977
10350	971,978,993,997,977,1021,1014,970,972,973,974,976
12661	971,970,978,977,1014,1021,997,993,976,974,973,972
13991	973,974,976,972,971,978,977,1021,997,1014,993,970
67819	970,1014,993,997,978,1021,971,976,977,972,973,974
256104	1014,1021,993,997,978,972,977,973,976,974,971,970
261653	971,976,972,974,973,970,978,993,977,997,1014,1021
392881	978,1014,1021,993,997,973,977,972,976,974,971,970
437319	976,977,972,974,973,971,970,978,993,997,1014,1021
677959	970,976,974,973,971,972,997,1014,978,993,977,1021
836419	1014,1021,993,978,977,997,970,971,976,974,972,973
988834	971,970,974,973,976,972,978,997,993,1014,977,1021
1087311	993,1021,977,978,997,1014,971,970,974,972,973,976
1172883	977,993,978,1014,1021,997,971,970,974,972,973,976
1493714	970,972,974,976,977,973,971,997,1014,978,993,1021
1539329	970,971,978,1014,1021,993,997,974,976,977,972,973
1640510	970,971,972,973,974,976,977,1014,978,1021,993,997
1792653	978,1014,977,993,997,1021,974,976,973,972,970,971
1800336	972,973,974,976,977,978,993,1014,1021,997,971,970
1847324	971,970,978,993,997,1014,1021,976,977,973,974,972
1901030	971,970,974,972,976,973,978,977,1014,993,997,1021
1922260	971,997,993,977,978,1014,1021,973,976,972,974,970
2054666	978,993,997,1014,1021,977,971,972,973,974,976,970
253	971,970,1014,997,978,1021,993,977,973,972,974
342	971,970,997,978,1014,1021,972,974,976,977,973
465	971,973,974,976,977,972,970,978,997,993,1014
639	971,974,972,973,976,977,993,997,1014,1021,978
690	971,970,972,974,977,973,978,997,993,1021,1014
693	978,997,993,1014,971,972,973,974,976,977,970
918	971,970,973,972,976,977,974,997,978,1014,1021
1162	997,978,1021,1014,971,970,972,976,977,973,974
1202	971,997,978,993,1014,977,970,973,974,972,976
1315	974,972,973,976,977,971,970,997,1014,1021,978
1504	1014,978,977,997,993,971,970,973,972,976,974
1613	997,978,993,977,1014,1021,971,970,973,974,976
1733	971,997,1014,1021,978,977,970,973,974,972,976
1751	997,993,978,1014,1021,971,970,973,974,976,977
1768	971,970,978,1014,997,1021,974,973,972,976,977
1906	978,997,977,993,1014,971,970,974,972,973,976
1966	971,997,1021,978,993,977,970,974,973,972,976
2050	978,997,1014,1021,977,971,970,972,974,976,973
2071	971,970,973,976,974,997,1021,978,977,1014,993
2265	971,978,997,993,1014,973,976,974,972,977,970
2378	971,973,974,976,977,972,978,997,1014,993,970
2564	997,978,1014,977,1021,971,970,974,973,976,972
2570	971,973,977,972,974,976,1014,997,978,993,970
2643	973,972,974,976,977,971,970,978,993,997,1014
2811	971,970,976,977,973,974,972,997,978,993,1021
2871	971,973,974,976,977,972,978,997,1014,1021,970
3003	971,970,997,978,1021,1014,977,973,974,976,972
3028	1014,1021,978,997,977,993,972,973,974,971,970
3038	978,997,1014,993,971,972,977,974,976,973,970
3086	970,971,978,997,977,1014,1021,976,972,973,974
3297	971,973,974,976,972,977,1021,978,997,1014,970
3743	971,970,993,997,978,977,1014,973,974,976,972
4634	973,974,971,972,976,977,978,993,997,1021,1014
4947	973,974,971,972,977,978,993,997,1021,1014,970
5635	974,972,976,973,977,971,970,978,993,997,1014
5796	971,973,972,974,976,970,978,997,1014,1021,977
6400	971,970,978,993,1014,1021,997,973,974,976,977
6823	978,977,1014,997,1021,973,974,971,972,976,970
7258	973,976,977,974,971,972,970,978,1021,993,1014
8701	971,1014,993,997,978,977,970,974,972,973,976
8745	973,971,974,976,977,970,978,993,1021,997,1014
9775	971,970,974,972,973,978,977,993,997,1014,1021
9982	971,970,974,976,977,972,973,978,997,1014,1021
10064	971,970,977,978,1021,997,1014,972,976,974,973
10948	971,973,974,976,997,978,993,977,1021,1014,970
12642	997,977,978,993,1014,1021,974,973,972,971,970